text,label
adversaries may spoof the parent process identifier ppid of new process to evade process monitoring defenses or to elevate privileges new processes are typically spawned directly from their parent or calling process unless explicitly specified one way of explicitly assigning the ppid of new process is via the code createprocess api call which supports parameter that defines the ppid to use this functionality is used by windows features such as user account control uac to correctly set the ppid after requested elevated process is spawned by system typically via code svchost exe or code consent exe rather than the current user context adversaries may abuse these mechanisms to evade defenses such as those blocking processes spawning directly from office documents and analysis targeting unusual malicious parent child process relationships such as spoofing the ppid of powershell to be code explorer exe rather than an office document delivered as part of spearphishing attachment this spoofing could be executed via visual basic within malicious office document or any code that can perform native api explicitly assigning the ppid may also enable elevated privileges given appropriate access rights to the parent process for example an adversary in privileged user context administrator may spawn new process and assign the parent as process running as system such as code lsass exe causing the new process to be elevated via the inherited access token,0
adversaries may use sid history injection to escalate privileges and bypass access controls the windows security identifier sid is unique value that identifies user or group account sids are used by windows security in both security descriptors and access tokens an account can hold additional sids in the sid history active directory attribute allowing inter operable account migration between domains all values in sid history are included in access tokens with domain administrator or equivalent rights harvested or well known sid values may be inserted into sid history to enable impersonation of arbitrary users such as enterprise administrators this manipulation may result in elevated access to local resources and access to otherwise inaccessible domains via lateral movement techniques such as remote services smb admin shares or windows remote management,0
adversaries may duplicate then impersonate another user existing token to escalate privileges and bypass access controls for example an adversary can duplicate an existing token using duplicatetoken or duplicatetokenex the token can then be used with impersonateloggedonuser to allow the calling thread to impersonate logged on user security context or with setthreadtoken to assign the impersonated token to thread an adversary may perform token impersonation when they have specific existing process they want to assign the duplicated token to for example this may be useful for when the target user has non network logon session on the system when an adversary would instead use duplicated token to create new process rather than attaching to an existing process they can additionally create process with token using createprocesswithtokenw or createprocessasuserw token impersonation is also distinct from make and impersonate token in that it refers to duplicating an existing token rather than creating new one,0
adversaries may interrupt availability of system and network resources by inhibiting access to accounts utilized by legitimate users accounts may be deleted locked or manipulated ex changed credentials revoked permissions for saas platforms such as sharepoint to remove access to accounts adversaries may also subsequently log off and perform system shutdown to set malicious changes into place in windows net utility code set localuser and code set adaccountpassword powershell cmdlets may be used by adversaries to modify user accounts accounts could also be disabled by group policy in linux the code passwd utility may be used to change passwords on esxi servers accounts can be removed or modified via esxcli system account set system account remove adversaries who use ransomware or similar attacks may first perform this and other impact behaviors such as data destruction and defacement in order to impede incident response before completing the data encrypted for impact objective,1
adversaries may attempt to get listing of valid accounts usernames or email addresses on system or within compromised environment this information can help adversaries determine which accounts exist which can aid in follow on behavior such as brute forcing spear phishing attacks or account takeovers valid accounts adversaries may use several methods to enumerate accounts including abuse of existing tools built in commands and potential misconfigurations that leak account names and roles or permissions in the targeted environment for examples cloud environments typically provide easily accessible interfaces to obtain user lists on hosts adversaries can use default powershell and other command line functionality to identify accounts information about email addresses and accounts may also be extracted by searching an infected system files,1
adversaries may attempt to get listing of cloud accounts cloud accounts are those created and configured by an organization for use by users remote support services or for administration of resources within cloud service provider or saas application with authenticated access there are several tools that can be used to find accounts the code get msolrolemember powershell cmdlet can be used to obtain account names given role or permissions group in office the azure cli az cli also provides an interface to obtain user accounts with authenticated access to domain the command code az ad user list will list all users within domain the aws command code aws iam list users may be used to obtain list of users in the current account while code aws iam list roles can obtain iam roles that have specified path prefix in gcp code gcloud iam service accounts list and code gcloud projects get iam policy may be used to obtain listing of service accounts and users in project,0
adversaries may attempt to get listing of domain accounts this information can help adversaries determine which domain accounts exist to aid in follow on behavior such as targeting specific accounts which possess particular privileges commands such as code net user and code net group of the net utility code dscacheutil group on macos and code ldapsearch on linux can list domain users and groups powershell cmdlets including code get aduser and code get adgroupmember may enumerate members of active directory groups,1
adversaries may attempt to get listing of email addresses and accounts adversaries may try to dump exchange address lists such as global address lists gals in on premises exchange and exchange online the code get globaladdresslist powershell cmdlet can be used to obtain email addresses and accounts from domain using an authenticated session in google workspace the gal is shared with microsoft outlook users through the google workspace sync for microsoft outlook gwsmo service additionally the google workspace directory allows for users to get listing of other users within the organization,0
adversaries may attempt to get listing of local system accounts this information can help adversaries determine which local accounts exist on system to aid in follow on behavior commands such as code net user and code net localgroup of the net utility and code id and code groups on macos and linux can list local users and groups on linux local users can also be enumerated through the use of the code file on macos the code dscl list command can be used to enumerate local accounts on esxi servers the esxcli system account list command can list local user accounts,1
adversaries may manipulate accounts to maintain and elevate access to victim systems account manipulation may consist of any action that preserves or modifies adversary access to compromised account such as modifying credentials or permission groups these actions could also include account activity designed to subvert security policies such as performing iterative password updates to bypass password duration policies and preserve the life of compromised credentials in order to create or manipulate accounts the adversary must already have sufficient permissions on systems or the domain however account manipulation may also lead to privilege escalation where modifications grant access to additional roles permissions or higher privileged valid accounts,1
adversaries may add adversary controlled credentials to cloud account to maintain persistent access to victim accounts and instances within the environment for example adversaries may add credentials for service principals and applications in addition to existing legitimate credentials in azure entra id these credentials include both x509 keys and passwords with sufficient permissions there are variety of ways to add credentials including the azure portal azure command line interface and azure or az powershell modules in infrastructure as service iaas environments after gaining access through cloud accounts adversaries may generate or import their own ssh keys using either the code createkeypair or code importkeypair api in aws or the code gcloud compute os login ssh keys add command in gcp this allows persistent access to instances within the cloud environment without further usage of the compromised cloud accounts adversaries may also use the code createaccesskey api in aws or the code gcloud iam service accounts keys create command in gcp to add access keys to an account alternatively they may use the code createloginprofile api in aws to add password that can be used to log into the aws management console for cloud service dashboard if the target account has different permissions from the requesting account the adversary may also be able to escalate their privileges in the environment cloud accounts for example in entra id environments an adversary with the application administrator role can add new set of credentials to their application service principal in doing so the adversary would be able to access the service principal roles and permissions which may be different from those of the application administrator in aws environments adversaries with the appropriate permissions may also use the sts getfederationtoken api call to create temporary set of credentials to forge web credentials tied to the permissions of the original user account these temporary credentials may remain valid for the duration of their lifetime even if the original account api credentials are deactivated in entra id environments with the app password feature enabled adversaries may be able to add an app password to user account as app passwords are intended to be used with legacy devices that do not support multi factor authentication mfa adding an app password can allow an adversary to bypass mfa requirements additionally app passwords may remain valid even if the user primary password is reset,0
an adversary may add additional roles or permissions to an adversary controlled cloud account to maintain persistent access to tenant for example adversaries may update iam policies in cloud based environments or add new global administrator in office environments with sufficient permissions compromised account can gain almost unlimited access to data and settings including the ability to reset the passwords of other admins this account modification may immediately follow create account or other malicious account activity adversaries may also modify existing valid accounts that they have compromised this could lead to privilege escalation particularly if the roles added allow for lateral movement to additional accounts for example in aws environments an adversary with appropriate permissions may be able to use the code createpolicyversion api to define new version of an iam policy or the code attachuserpolicy api to attach an iam policy with additional or distinct permissions to compromised user account in some cases adversaries may add roles to adversary controlled accounts outside the victim cloud tenant this allows these external accounts to perform actions inside the victim tenant without requiring the adversary to create account or modify victim owned account,0
an adversary may add additional roles or permissions to an adversary controlled user or service account to maintain persistent access to container orchestration system for example an adversary with sufficient permissions may create rolebinding or clusterrolebinding to bind role or clusterrole to kubernetes account where attribute based access control abac is in use an adversary with sufficient permissions may modify kubernetes abac policy to give the target account additional permissions this account modification may immediately follow create account or other malicious account activity adversaries may also modify existing valid accounts that they have compromised note that where container orchestration systems are deployed in cloud environments as with google kubernetes engine amazon elastic kubernetes service and azure kubernetes service cloud based role based access control rbac assignments or abac policies can often be used in place of or in addition to local permission assignments in these cases this technique may be used in conjunction with additional cloud roles,0
adversaries may grant additional permission levels to maintain persistent access to an adversary controlled email account for example the code add mailboxpermission powershell cmdlet available in on premises exchange and in the cloud based service office adds permissions to mailbox in google workspace delegation can be enabled via the google admin console and users can delegate accounts via their gmail settings adversaries may also assign mailbox folder permissions through individual folder permissions or roles in office environments adversaries may assign the default or anonymous user permissions or roles to the top of information store root inbox or other mailbox folders by assigning one or both user permissions to folder the adversary can utilize any other account in the tenant to maintain persistence to the target user mail folders this may be used in persistent threat incidents as well as bec business email compromise incidents where an adversary can add additional cloud roles to the accounts they wish to compromise this may further enable use of additional techniques for gaining access to systems for example compromised business accounts are often used to send messages to other accounts in the network of the target business while creating inbox rules ex internal spearphishing so the messages evade spam detection mechanisms,0
an adversary may add additional local or domain groups to an adversary controlled account to maintain persistent access to system or domain on windows accounts may use the net localgroup and net group commands to add existing users to local and domain groups on linux adversaries may use the usermod command for the same purpose for example accounts may be added to the local administrators group on windows devices to maintain elevated privileges they may also be added to the remote desktop users group which allows them to leverage remote desktop protocol to log into the endpoints in the future adversaries may also add accounts to vpn user groups to gain future persistence on the network on linux accounts may be added to the sudoers group allowing them to persistently leverage sudo and sudo caching for elevated privileges in windows environments machine accounts may also be added to domain groups this allows the local system account to gain privileges on the domain,1
adversaries may register device to an adversary controlled account devices may be registered in multifactor authentication mfa system which handles authentication to the network or in device management system which handles device access and compliance mfa systems such as duo or okta allow users to associate devices with their accounts in order to complete mfa requirements an adversary that compromises user credentials may enroll new device in order to bypass initial mfa requirements and gain persistent access to network in some cases the mfa self enrollment process may require only username and password to enroll the account first device or to enroll device to an inactive account similarly an adversary with existing access to network may register device or virtual machine to entra id and its device management system microsoft intune in order to access sensitive data or resources while bypassing conditional access policies devices registered in entra id may be able to conduct internal spearphishing campaigns via intra organizational emails which are less likely to be treated as suspicious by the email client additionally an adversary may be able to perform service exhaustion flood on an entra id tenant by registering large number of devices,0
adversaries may modify the ssh code authorized keys file to maintain persistence on victim host linux distributions macos and esxi hypervisors commonly use key based authentication to secure the authentication process of ssh sessions for remote management the code authorized keys file in ssh specifies the ssh keys that can be used for logging into the user account for which the file is configured this file is usually found in the user home directory under code lt user home gt or on esxi users may edit the system ssh config file to modify the directives pubkeyauthentication and rsaauthentication to the value yes to ensure public key and rsa authentication are enabled as well as modify the directive permitrootlogin to the value yes to enable root authentication via ssh the ssh config file is usually located under code adversaries may modify ssh code authorized keys files directly with scripts or shell commands to add their own adversary supplied public keys in cloud environments adversaries may be able to modify the ssh authorized keys file of particular virtual machine via the command line interface or rest api for example by using the google cloud cli add metadata command an adversary may add ssh keys to user account similarly in azure an adversary may update the authorized keys file of virtual machine via patch request to the api this ensures that an adversary possessing the corresponding private key may log in as an existing user via ssh it may also lead to privilege escalation where the virtual machine or instance has distinct permissions from the requesting user where authorized keys files are modified via cloud apis or command line interfaces an adversary may achieve privilege escalation on the target virtual machine if they add key to higher privileged user ssh keys can also be added to accounts on network devices such as with the ip ssh pubkey chain network device cli command,1
adversaries may purchase or otherwise acquire an existing access to target system or network variety of online services and initial access broker networks are available to sell access to previously compromised systems in some cases adversary groups may form partnerships to share compromised systems with each other footholds to compromised systems may take variety of forms such as access to planted backdoors web shell or established access via external remote services in some cases access brokers will implant compromised systems with load that can be used to install additional malware for paying customers by leveraging existing access broker networks rather than developing or obtaining their own initial access capabilities an adversary can potentially reduce the resources required to gain foothold on target network and focus their efforts on later stages of compromise adversaries may prioritize acquiring access to systems that have been determined to lack security monitoring or that have high privileges or systems that belong to organizations in particular sector in some cases purchasing access to an organization in sectors such as it contracting software development or telecommunications may allow an adversary to compromise additional victims via trusted relationship multi factor authentication interception or even supply chain compromise note while this technique is distinct from other behaviors such as purchase technical data and credentials they may often be used in conjunction especially where the acquired foothold requires valid accounts,0
adversaries may buy lease rent or obtain infrastructure that can be used during targeting wide variety of infrastructure exists for hosting and orchestrating adversary operations infrastructure solutions include physical or cloud servers domains and third party web services some infrastructure providers offer free trial periods enabling infrastructure acquisition at limited to no cost additionally botnets are available for rent or purchase use of these infrastructure solutions allows adversaries to stage launch and execute operations solutions may help adversary operations blend in with traffic that is seen as normal such as contacting third party web services or acquiring infrastructure to support proxy including from residential proxy services depending on the implementation adversaries may use infrastructure that makes it difficult to physically tie back to them as well as utilize infrastructure that can be rapidly provisioned modified and shut down,0
adversaries may buy lease or rent network of compromised systems that can be used during targeting botnet is network of compromised systems that can be instructed to perform coordinated tasks adversaries may purchase subscription to use an existing botnet from booter service internet facing edge devices and related network appliances that are end of life eol and unsupported by their manufacturers are commonly acquired for botnet activities adversaries may lease operational relay box orb networks consisting of virtual private servers vps small office office soho routers or internet of things iot devices to serve as botnet with botnet at their disposal adversaries may perform follow on activity such as large scale phishing or distributed denial of service ddos acquired botnets may also be used to support command and control activity such as hide infrastructure through an established proxy network,0
adversaries may set up their own domain name system dns servers that can be used during targeting during post compromise activity adversaries may utilize dns traffic for various tasks including for command and control ex application layer protocol instead of hijacking existing dns servers adversaries may opt to configure and run their own dns servers in support of operations by running their own dns servers adversaries can have more control over how they administer server side dns c2 traffic dns with control over dns server adversaries can configure dns applications to provide conditional responses to malware and generally have more flexibility in the structure of the dns based c2 channel,0
adversaries may acquire domains that can be used during targeting domain names are the human readable names used to represent one or more ip addresses they can be purchased or in some cases acquired for free adversaries may use acquired domains for variety of purposes including for phishing drive by compromise and command and control adversaries may choose domains that are similar to legitimate domains including through use of homoglyphs or use of different top level domain tld typosquatting may be used to aid in delivery of payloads via drive by compromise adversaries may also use internationalized domain names idns and different character sets cyrillic greek etc to execute idn homograph attacks creating visually similar lookalike domains used to deliver malware to victim machines different uris may also be dynamically generated to uniquely serve malicious content to victims including one time single use domain names adversaries may also acquire and repurpose expired domains which may be potentially already allowlisted by defenders based on an existing reputation domain registrars each maintain publicly viewable database that displays contact information for every registered domain private whois services display alternative information such as their own company data rather than the owner of the domain adversaries may use such private whois services to obscure information about who owns purchased domain adversaries may further interrupt efforts to track their infrastructure by using varied registration information and purchasing domains with different domain registrars in addition to legitimately purchasing domain an adversary may register new domain in compromised environment for example in aws environments adversaries may leverage the route53 domain service to register domain and create hosted zones pointing to resources of the threat actor choosing,0
adversaries may purchase online advertisements that can be abused to distribute malware to victims ads can be purchased to plant as well as favorably position artifacts in specific locations online such as prominently placed within search engine results these ads may make it more difficult for users to distinguish between actual search results and advertisements purchased ads may also target specific audiences using the advertising network capabilities potentially further taking advantage of the trust inherently given to search engines and popular websites adversaries may purchase ads and other resources to help distribute artifacts containing malicious code to victims purchased ads may attempt to impersonate or spoof well known brands for example these spoofed ads may trick victims into clicking the ad which could then send them to malicious domain that may be clone of official websites containing trojanized versions of the advertised software adversary efforts to create malicious domains and purchase advertisements may also be automated at scale to better resist cleanup efforts malvertising may be used to support drive by target and drive by compromise potentially requiring limited interaction from the user if the ad contains code that infect the target system web browser adversaries may also employ several techniques to evade detection by the advertising network for example adversaries may dynamically route ad clicks to send automated crawler enforcer traffic to benign sites while validating potential targets then sending victims referred from real ad clicks to malicious pages this infection vector may therefore remain hidden from the ad network as well as any visitor not reaching the malicious sites with valid identifier from clicking on the advertisement other tricks such as intentional typos to avoid brand reputation monitoring may also be used to evade automated detection,0
adversaries may buy lease rent or obtain physical servers that can be used during targeting use of servers allows an adversary to stage launch and execute an operation during post compromise activity adversaries may utilize servers for various tasks such as watering hole operations in drive by compromise enabling phishing operations or facilitating command and control instead of compromising third party server or renting virtual private server adversaries may opt to configure and run their own servers in support of operations free trial periods of cloud servers may also be abused adversaries may only need lightweight setup if most of their activities will take place using online infrastructure or they may need to build extensive infrastructure if they want to test communicate and control other aspects of their activities on their own systems,0
adversaries may purchase and configure serverless cloud infrastructure such as cloudflare workers aws lambda functions or google apps scripts that can be used during targeting by utilizing serverless infrastructure adversaries can make it more difficult to attribute infrastructure used during operations back to them once acquired the serverless runtime environment can be leveraged to either respond directly to infected machines or to proxy traffic to an adversary owned command and control server as traffic generated by these functions will appear to come from subdomains of common cloud providers it may be difficult to distinguish from ordinary traffic to these providers making it easier to hide infrastructure,0
adversaries may rent virtual private servers vpss that can be used during targeting there exist variety of cloud service providers that will sell virtual machines as service by utilizing vps adversaries can make it difficult to physically tie back operations to them the use of cloud infrastructure can also make it easier for adversaries to rapidly provision modify and shut down their infrastructure acquiring vps for use in later stages of the adversary lifecycle such as command and control can allow adversaries to benefit from the ubiquity and trust associated with higher reputation cloud service providers adversaries may also acquire infrastructure from vps service providers that are known for renting vpss with minimal registration information allowing for more anonymous acquisitions of infrastructure,0
adversaries may register for web services that can be used during targeting variety of popular websites exist for adversaries to register for web based service that can be abused during later stages of the adversary lifecycle such as during command and control web service exfiltration over web service or phishing using common services such as those offered by google github or twitter makes it easier for adversaries to hide in expected noise by utilizing web service adversaries can make it difficult to physically tie back operations to them,0
